Col,Row,Name,Size,atmo roll,Atmosphere,Temperature,Hydro air mod,Hydro temp mod,Hyrdo roll,Hydrographics,Population,Gov roll,Government,Law roll,Law,Starport roll,Starport,Tech,Portdm,sizdm,atmodm,hydrodm,popdm,govdm,Rand,Bases,Trade Codes,Travel Code,Contraband,Notes,Links
06,03,-,1,,0,Swings,-4,,0,0,6,0,6,4,10,0,D,5,,2,1,1,,,1,"Gas Giant, Scout",,,,,
06,04,-,4,4,8,Temperate,,,-2,2,7,-1,6,-4,2,1,C,9,2,1,,,,,6,Gas Giant,,,,,
06,05,-,5,1,6,Hot,,-2,-1,2,3,-4,0,-1,-1,0,E,3,,,,,1,1,1,,,,,,
06,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,08,-,1,,0,Swings,-4,,0,0,3,4,7,0,7,2,D,9,,2,1,1,1,2,2,Gas Giant,,,,,
06,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,04,-,8,-1,7,Temperate,,,0,8,4,-3,1,4,5,-1,E,7,,,,,1,,6,Gas Giant,,,,,
07,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,01,-,4,-1,3,Frozen,,,2,6,2,1,3,-3,0,-3,X,7,,1,1,,1,,4,Gas Giant,,,,,
08,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,03,Lagoon,8,-2,6,Temperate,,,0,8,8,2,10,1,11,3,A,13,6,,,1,,,6,"Gas Giant, Navy, Research, TAS, Consulate",,,,"Subsector capital, ruled by exceptionally popular governor; Entire world consists of beautiful islands in a cobalt ocean. The locals are obsessed with looking faaabulous.",
08,04,-,2,-1,1,Swings,-4,,-1,0,3,0,3,-3,0,1,E,5,,1,1,1,1,,1,Gas Giant,,,,,
08,05,-,4,1,5,Cold,,,-1,3,4,1,5,-2,3,2,D,4,,1,,,1,1,1,"Gas Giant, Scout",,,,,
08,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,07,-,3,-1,2,Temperate,,,5,8,0,0,0,0,0,-4,X,3,-4,1,1,,,1,4,Gas Giant,,,,,
08,08,-,4,0,4,Cold,,,5,9,4,0,4,2,6,-1,E,7,,1,,1,1,,4,Gas Giant,,,,,
08,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,10,-,7,3,10,Temperate,-4,,-1,2,6,0,6,-1,5,-1,D,3,,,1,,,,2,Scout,,,,,
